EVTDESCgivesmallarms;$FROMCOUNTRY$ has asked us for a shipment of small arms. Shall we give it to them?;;;;;;;;;;;;;x
Give_200_Small_Arms;Give them 200.;;;;;;;;;;;;;x
Give_500_Small_Arms;Give them 500.;;;;;;;;;;;;;x
Give_1000_Small_Arms;Give them 1000.;;;;;;;;;;;;;x
Give_1500_Small_Arms;Give them 1500.;;;;;;;;;;;;;x
Give_1999_Small_Arms;Give them 1999.;;;;;;;;;;;;;x
EVTNAMEgivesteamerconvoys;$FROMCOUNTRY$ Requests Steamer Convoys;;;;;;;;;;;;;x
EVTDESCgivesteamerconvoys;$FROMCOUNTRY$ has asked us for a shipment of steamer convoys. Shall we give it to them?;;;;;;;;;;;;;x
Give_200_Steamer_Convoys;Give them 200.;;;;;;;;;;;;;x
Give_500_Steamer_Convoys;Give them 500.;;;;;;;;;;;;;x
Give_1000_Steamer_Convoys;Give them 1000.;;;;;;;;;;;;;x
Give_1500_Steamer_Convoys;Give them 1500.;;;;;;;;;;;;;x
Give_1999_Steamer_Convoys;Give them 1999.;;;;;;;;;;;;;x
EVTNAMEgiveclipperconvoys;$FROMCOUNTRY$ Requests Clipper Convoys;;;;;;;;;;;;;x
EVTDESCgiveclipperconvoys;$FROMCOUNTRY$ has asked us for a shipment of clipper convoys. Shall we give it to them?;;;;;;;;;;;;;x
Give_200_Clipper_Convoys;Give them 200.;;;;;;;;;;;;;x
Give_500_Clipper_Convoys;Give them 500.;;;;;;;;;;;;;x
Give_1000_Clipper_Convoys;Give them 1000.;;;;;;;;;;;;;x
Give_1500_Clipper_Convoys;Give them 1500.;;;;;;;;;;;;;x
Give_1999_Clipper_Convoys;Give them 1999.;;;;;;;;;;;;;x
EVTNAMEgivecannedfood;$FROMCOUNTRY$ Requests Canned Food;;;;;;;;;;;;;x
EVTDESCgivecannedfood;$FROMCOUNTRY$ has asked us for a shipment of canned food. Shall we give it to them?;;;;;;;;;;;;;x
Give_200_Canned_Food;Give them 200.;;;;;;;;;;;;;x
Give_500_Canned_Food;Give them 500.;;;;;;;;;;;;;x
Give_1000_Canned_Food;Give them 1000.;;;;;;;;;;;;;x
Give_1500_Canned_Food;Give them 1500.;;;;;;;;;;;;;x
Give_1999_Canned_Food;Give them 1999.;;;;;;;;;;;;;x
EVTNAMEgivebarrels;$FROMCOUNTRY$ Requests Tank Barrels;;;;;;;;;;;;;x
EVTDESCgivebarrels;$FROMCOUNTRY$ has asked us for a shipment of tank barrels. Shall we give it to them?;;;;;;;;;;;;;x
Give_200_barrels;Give them 200.;;;;;;;;;;;;;x
Give_500_barrels;Give them 500.;;;;;;;;;;;;;x
Give_1000_barrels;Give them 1000.;;;;;;;;;;;;;x
Give_1500_barrels;Give them 1500.;;;;;;;;;;;;;x
Give_1999_barrels;Give them 1999.;;;;;;;;;;;;;x
EVTNAMEgiveaeroplanes;$FROMCOUNTRY$ Requests Aeroplanes;;;;;;;;;;;;;x
EVTDESCgiveaeroplanes;$FROMCOUNTRY$ has asked us for a shipment of aeroplanes. Shall we give it to them?;;;;;;;;;;;;;x
Give_200_aeroplanes;Give them 200.;;;;;;;;;;;;;x
Give_500_aeroplanes;Give them 500.;;;;;;;;;;;;;x
Give_1000_aeroplanes;Give them 1000.;;;;;;;;;;;;;x
Give_1500_aeroplanes;Give them 1500.;;;;;;;;;;;;;x
Give_1999_aeroplanes;Give them 1999.;;;;;;;;;;;;;x
EVTNAMEgivefuel;$FROMCOUNTRY$ Requests Fuel;;;;;;;;;;;;;x
EVTDESCgivefuel;$FROMCOUNTRY$ has asked us for a shipment of fuel. Shall we give it to them?;;;;;;;;;;;;;x
Give_200_fuel;Give them 200.;;;;;;;;;;;;;x
Give_500_fuel;Give them 500.;;;;;;;;;;;;;x
Give_1000_fuel;Give them 1000.;;;;;;;;;;;;;x
Give_1500_fuel;Give them 1500.;;;;;;;;;;;;;x
Give_1999_fuel;Give them 1999.;;;;;;;;;;;;;x
#Credit End;;;;;;;;;;;;;;x
